Image_ID,Pothole,Number of Potholes,Level,Unnamed: 4,FullImagePath
pothole_image_1299,1,3,B,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1299.jpg
pothole_image_10064,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10064.jpg
pothole_image_10079,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10079.jpg
pothole_image_10084,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10084.jpg
pothole_image_10087,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10087.jpg
pothole_image_10110,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10110.jpg
pothole_image_10119,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10119.jpg
pothole_image_10120,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10120.jpg
pothole_image_10135,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10135.jpg
pothole_image_10139,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10139.jpg
pothole_image_10154,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10154.jpg
pothole_image_10156,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10156.jpg
pothole_image_10163,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10163.jpg
pothole_image_10169,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10169.jpg
pothole_image_10182,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10182.jpg
pothole_image_10198,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10198.jpg
pothole_image_10212,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10212.jpg
pothole_image_10225,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10225.jpg
pothole_image_10226,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10226.jpg
pothole_image_10236,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10236.jpg
pothole_image_10238,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10238.jpg
pothole_image_10244,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10244.jpg
pothole_image_10272,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10272.jpg
pothole_image_10273,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10273.jpg
pothole_image_10274,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10274.jpg
pothole_image_10285,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10285.jpg
pothole_image_10286,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10286.jpg
