                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53039,                0.97382,                      1,                0.42052,             0.00023375,             0.00023375,             0.00023375
                      2,                0.15669,                0.98691,                      1,                 0.3416,             0.00042505,             0.00042505,             0.00042505
                      3,                0.09361,                0.98691,                      1,                0.33359,             0.00056922,             0.00056922,             0.00056922
                      4,                0.10868,                0.98429,                      1,                0.33366,             0.00050194,             0.00050194,             0.00050194
                      5,                0.04452,                0.98429,                      1,                0.33139,             0.00050194,             0.00050194,             0.00050194
                      6,                0.04923,                0.98168,                      1,                0.33071,             0.00043126,             0.00043126,             0.00043126
                      7,                0.04221,                0.97906,                      1,                0.33098,             0.00036057,             0.00036057,             0.00036057
                      8,                0.05366,                0.98429,                      1,                0.33046,             0.00028988,             0.00028988,             0.00028988
                      9,                0.02491,                0.98429,                      1,                0.33006,              0.0002192,              0.0002192,              0.0002192
                     10,                0.04206,                0.98429,                      1,                0.32901,             0.00014851,             0.00014851,             0.00014851
